episode,step,reward,action,age
0,127,-3.0,[1 1 0 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,128,-2.0,[1 0 0 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,129,-7.0,[1 1 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,130,-4.0,[0 1 0 0 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,131,-3.0,[0 1 1 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,132,-3.0,[0 0 1 1 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,133,-6.0,[1 0 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,134,-4.0,[1 1 0 0 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,135,-4.0,[0 1 0 0 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,136,-5.0,[1 0 0 1 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,137,-4.0,[1 0 1 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,138,-4.0,[1 0 0 1 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,139,-2.0,[0 0 0 0 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,140,-6.0,[1 0 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,141,-4.0,[1 1 1 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,142,-2.0,[1 1 0 0 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,143,-6.0,[0 1 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,144,-3.0,[0 0 1 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,145,-7.0,[1 1 1 1 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,146,-7.0,[1 1 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,147,-6.0,[0 1 1 1 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,148,-5.0,[0 1 0 0 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,149,-6.0,[0 1 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,150,-3.0,[0 0 0 0 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,151,-4.0,[1 1 1 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,152,-2.0,[0 0 1 0 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,153,-3.0,[1 1 0 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,154,-6.0,[0 1 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
